Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
319678,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Thurgoona,-36.0445,146.9934,OIE,Confirmed,Domestic,Swine,4/4/22,19/04/2022,,
319679,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Young,-34.3134,148.2979,OIE,Confirmed,Domestic,Swine,4/4/22,19/04/2022,,
319680,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Bunnaloo,-35.7878,144.5963,OIE,Confirmed,Domestic,Swine,26/03/2022,19/04/2022,,
318327,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Tatura,-36.4401,145.226,OIE,Confirmed,Domestic,Swine,25/03/2022,1/4/22,,
318328,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Numurkah,-36.0883,145.4423,OIE,Confirmed,Domestic,Swine,25/03/2022,1/4/22,,
319675,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,St Arnaud,-36.6214,143.2649,OIE,Confirmed,Domestic,Swine,24/03/2022,19/04/2022,,
319676,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Goornong,-36.6169,144.5071,OIE,Confirmed,Domestic,Swine,24/03/2022,19/04/2022,,
318321,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Bridgewater on Loddon,-36.6024,143.9424,OIE,Confirmed,Domestic,Swine,23/03/2022,1/4/22,,
318317,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,South Australia,Hilltown,-33.6923,138.6409,OIE,Confirmed,Domestic,Swine,22/03/2022,1/4/22,,
318330,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Harston,-36.4696,145.1137,OIE,Confirmed,Domestic,Swine,22/03/2022,1/4/22,,
318322,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Macorna,-35.9187,144.0287,OIE,Confirmed,Domestic,Swine,21/03/2022,1/4/22,,
318324,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Moonbi,-30.9403,151.0439,OIE,Confirmed,Domestic,Swine,21/03/2022,1/4/22,,
318326,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Narrandera,-34.6954,146.6062,OIE,Confirmed,Domestic,Swine,21/03/2022,1/4/22,,
318332,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Queensland,Monto,-24.8663,151.1198,OIE,Confirmed,Domestic,Swine,21/03/2022,1/4/22,,
318325,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Tocumwal,-35.8117,145.5648,OIE,Confirmed,Domestic,Swine,20/03/2022,1/4/22,,
318329,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Girgarre,-36.3988,144.9319,OIE,Confirmed,Domestic,Swine,20/03/2022,1/4/22,,
316500,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Young,-34.313,148.298,OIE,Confirmed,Domestic,Swine,18/03/2022,25/03/2022,,
316501,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Queensland,Warra,-26.93,150.92,OIE,Confirmed,Domestic,Swine,18/03/2022,25/03/2022,,
318319,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,South Australia,Murray Bridge,-35.1201,139.2737,OIE,Confirmed,Domestic,Swine,18/03/2022,1/4/22,,
318323,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Wunghnu,-36.1532,145.4318,OIE,Confirmed,Domestic,Swine,18/03/2022,1/4/22,,
318318,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,South Australia,Waikerie,-34.1815,139.9856,OIE,Confirmed,Domestic,Swine,17/03/2022,1/4/22,,
318320,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,South Australia,Tailem Bend,-35.2529,139.4535,OIE,Confirmed,Domestic,Swine,17/03/2022,1/4/22,,
316499,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Temora,-34.447,147.534,OIE,Confirmed,Domestic,Swine,14/03/2022,25/03/2022,,
316503,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Queensland,Chinchilla,-26.746,150.627,OIE,Confirmed,Domestic,Swine,12/3/22,25/03/2022,,
316502,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Queensland,Goondiwindi,-28.542,150.301,OIE,Confirmed,Domestic,Swine,11/3/22,25/03/2022,,
318331,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Albury,-36.0751,146.9095,OIE,Confirmed,Domestic,Swine,11/3/22,1/4/22,,
318316,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,South Australia,Eudunda,-34.1765,139.0839,OIE,Confirmed,Domestic,Swine,10/3/22,1/4/22,,
319677,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,St Arnaud,-36.6214,143.2649,OIE,Confirmed,Domestic,Swine,9/3/22,19/04/2022,,
315446,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Baradine,-30.946,149.07,OIE,Confirmed,Domestic,Swine,5/3/22,10/3/22,,
315449,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Tenterfield,-29.097,152.018,OIE,Confirmed,Domestic,Swine,5/3/22,10/3/22,,
315455,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Murringo,-34.305,148.5193,OIE,Confirmed,Domestic,Swine,5/3/22,10/3/22,,
315456,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Henty,-35.5169,147.0328,OIE,Confirmed,Domestic,Swine,5/3/22,10/3/22,,
315450,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Marnoo South,-36.672,142.87,OIE,Confirmed,Domestic,Swine,4/3/22,10/3/22,,
315451,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Tragowel,-35.856,143.936,OIE,Confirmed,Domestic,Swine,4/3/22,10/3/22,,
316498,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Queensland,Windera,-26.041,151.831,OIE,Confirmed,Domestic,Swine,4/3/22,25/03/2022,,
315447,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Cunninyeuk,-35.295,143.925,OIE,Confirmed,Domestic,Swine,3/3/22,10/3/22,,
315454,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Kyabram,-36.313,145.05,OIE,Confirmed,Domestic,Swine,3/3/22,10/3/22,,
315448,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,New South Wales,Balpool,-31.253,146.921,OIE,Confirmed,Domestic,Swine,2/3/22,10/3/22,,
315458,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Pine Lodge,-36.3647,145.5316,OIE,Confirmed,Domestic,Swine,2/3/22,10/3/22,,
315459,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Oakvale,-35.9202,143.5762,OIE,Confirmed,Domestic,Swine,2/3/22,10/3/22,,
315452,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Strathmerton,-35.926,145.479,OIE,Confirmed,Domestic,Swine,1/3/22,10/3/22,,
316497,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Queensland,Dalby,-27.182,151.262,OIE,Confirmed,Domestic,Swine,25/02/2022,25/03/2022,,
315461,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Everton Upper,-36.3954,146.5665,OIE,Confirmed,Domestic,Swine,21/02/2022,10/3/22,,
318566,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,South Australia,Two wells,-34.5928,138.5127,National authorities,Confirmed,Captive,Alpaca,18/02/2022,3/4/22,,
315460,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Leitchville,-35.9065,144.3014,OIE,Confirmed,Domestic,Swine,17/02/2022,10/3/22,,
315453,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,South Australia,Waikerie,-34.182,139.986,OIE,Confirmed,Domestic,Swine,7/2/22,10/3/22,,
315457,Japanese Encephalitis,,Oceania,Australia and New Zealand,Australia,Victoria,Huntly North,-36.5928,144.3345,OIE,Confirmed,Domestic,Swine,31/01/2022,10/3/22,,